                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81647,                 1.7822,                  1.136,                 0.5616,                0.63174,                0.67084,                0.48603,                0.85379,                 2.2602,                  1.193,             0.00054518,             0.00054518,             0.00054518
                      2,                0.88584,                 1.2793,                 1.1683,                0.33845,                0.43688,                0.27204,                0.16927,                 1.2333,                 2.4087,                 1.4764,              0.0010957,              0.0010957,              0.0010957
                      3,                 1.0094,                 1.3547,                 1.2453,                0.24348,                 0.3714,                0.18544,                0.10028,                 1.5095,                 2.8323,                 1.9218,              0.0016409,              0.0016409,              0.0016409
                      4,                 1.0486,                 1.3641,                 1.2743,                0.51912,                0.43869,                0.46205,                0.32354,                 1.0978,                 2.1078,                 1.3615,              0.0016434,              0.0016434,              0.0016434
                      5,                 1.0144,                 1.2933,                 1.2428,                0.53563,                0.53697,                0.54731,                0.36046,                 1.1048,                 1.5101,                 1.3474,              0.0016356,              0.0016356,              0.0016356
                      6,                0.96916,                  1.164,                 1.2144,                 0.6454,                 0.5582,                0.61989,                 0.4449,                 1.0513,                 1.5737,                 1.3317,              0.0016277,              0.0016277,              0.0016277
                      7,                0.94745,                 1.1649,                 1.2038,                0.59713,                0.56678,                0.60748,                 0.4422,                 0.9436,                  1.544,                 1.2423,              0.0016198,              0.0016198,              0.0016198
                      8,                 0.9383,                 1.1436,                 1.2009,                0.67614,                0.57602,                0.65025,                 0.4749,                0.94563,                  1.372,                 1.2765,               0.001612,               0.001612,               0.001612
                      9,                0.90314,                 1.0869,                 1.1765,                0.75651,                0.72911,                 0.7853,                0.59139,                0.85028,                0.99712,                 1.1654,              0.0016041,              0.0016041,              0.0016041
                     10,                0.89112,                 1.0342,                 1.1773,                0.69043,                0.67207,                 0.7212,                0.53452,                0.87677,                  1.103,                 1.1941,              0.0015963,              0.0015963,              0.0015963
                     11,                0.85893,                 1.0181,                 1.1583,                0.70641,                0.70124,                0.76568,                0.54577,                0.86781,                 1.1066,                 1.1654,              0.0015884,              0.0015884,              0.0015884
                     12,                0.83213,                0.99282,                 1.1391,                0.80089,                0.76506,                0.83148,                0.63239,                0.80189,                0.94652,                 1.1154,              0.0015806,              0.0015806,              0.0015806
                     13,                0.85167,                0.99478,                 1.1542,                0.65295,                0.74661,                0.69583,                0.52804,                 0.8068,                 1.0515,                 1.1332,              0.0015727,              0.0015727,              0.0015727
                     14,                0.83014,                0.96358,                 1.1504,                0.70994,                0.69248,                0.73852,                0.56788,                0.80424,                 1.1153,                 1.1383,              0.0015648,              0.0015648,              0.0015648
                     15,                0.81142,                0.93094,                 1.1186,                0.74833,                0.74644,                0.79544,                0.61303,                0.81239,                0.91827,                 1.1047,               0.001557,               0.001557,               0.001557
                     16,                0.81321,                0.89689,                 1.1117,                0.77149,                 0.7762,                0.83019,                0.64377,                0.78872,                0.87133,                 1.1019,              0.0015491,              0.0015491,              0.0015491
                     17,                0.80791,                 0.8883,                 1.1353,                0.79788,                0.77583,                0.82467,                 0.6397,                0.77848,                0.83036,                  1.103,              0.0015413,              0.0015413,              0.0015413
                     18,                0.79506,                0.88976,                 1.1168,                0.77035,                0.75611,                 0.8411,                0.65507,                0.74055,                 0.8972,                  1.081,              0.0015334,              0.0015334,              0.0015334
                     19,                0.77962,                0.89498,                 1.1081,                0.71029,                0.75644,                0.79414,                0.61792,                0.79541,                 0.9625,                 1.1095,              0.0015255,              0.0015255,              0.0015255
                     20,                0.77404,                0.86724,                 1.1085,                0.74315,                0.73574,                0.79049,                0.60605,                0.74664,                0.92785,                 1.0865,              0.0015177,              0.0015177,              0.0015177
                     21,                0.76707,                0.87433,                 1.1032,                0.78924,                0.76509,                 0.8254,                0.66002,                0.73616,                0.83111,                 1.0849,              0.0015098,              0.0015098,              0.0015098
                     22,                0.75077,                0.83866,                 1.0776,                0.79788,                0.80009,                0.84807,                0.67423,                0.73788,                0.81354,                 1.0801,               0.001502,               0.001502,               0.001502
                     23,                0.74726,                0.83721,                 1.0806,                0.81284,                0.75133,                0.84793,                0.67777,                0.72218,                0.83459,                  1.046,              0.0014941,              0.0014941,              0.0014941
